cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column
652370,9,023240.83-092113.5_652370_1,150.16537948452046,2.2894080794980662,0.7279000282287598,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.16537,2.2894154,0.04311025587736233,0.7279,-2.8228759774151513e-08,True,824544,3.5,RAJ2000,DEJ2000,zsp
638362,1,140030.13+002208.5_638362_0.3,149.86602972432874,2.267845273452656,0.25099998712539673,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.866013,2.267854,0.06786910161324654,0.25060001015663147,-0.0003999769687652588,True,826061,4.5,RAJ2000,DEJ2000,z
638362,1,140030.13+002208.5_638362_0.3,149.86602972432874,2.267845273452656,0.25099998712539673,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.86604,2.2678652,0.08069874927991065,nan,nan,,,,RAJ2000,DEJ2000,zsp
634789,2,164527.79+194534.3_634789_0.03,149.78969868140126,2.2635990850347305,1.2237999439239502,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.78972,2.2636285,0.13074562778944943,nan,nan,,,,RAJ2000,DEJ2000,zsp
636233,4,021833.19+002525.8_636233_0.1,150.38168246144232,2.2658687463834477,0.8479999899864197,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.38168,2.2658684,0.008941641469007396,nan,nan,,,,RAJ2000,DEJ2000,zsp
640223,1,163642.91+332729.0_640223_1,149.75671365111765,2.271359043497398,0.9039999842643738,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.75674,2.2713757,0.11215673780553344,nan,nan,,,,RAJ2000,DEJ2000,zsp
604414,1,143730.21+082700.6_604414_0.0001,149.78022321410805,2.217754153417058,1.1593999862670898,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.78024,2.2177541,0.06038425410995226,nan,nan,,,,RAJ2000,DEJ2000,zsp
601996,5,075515.06+185856.8_601996_0.03,150.70291407516427,2.21344501706475,0.4627000093460083,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.702911,2.213448,0.01541726288468899,0.46219998598098755,-0.000500023365020752,True,821905,4.5,RAJ2000,DEJ2000,z
601996,5,075515.06+185856.8_601996_0.03,150.70291407516427,2.21344501706475,0.4627000093460083,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.70293,2.2134564,0.07043437629606925,nan,nan,,,,RAJ2000,DEJ2000,zsp
617393,2,143747.87+283019.4_617393_0.03,150.3101119750638,2.233976671557454,0.24799999594688416,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.310104,2.233973,0.03158686365799876,0.2476000040769577,-0.00039999186992645264,True,823880,4.5,RAJ2000,DEJ2000,z
617393,2,143747.87+283019.4_617393_0.03,150.3101119750638,2.233976671557454,0.24799999594688416,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.31013,2.2339723,0.06672298381737189,0.248,4.053115842950206e-09,True,823880,4.5,RAJ2000,DEJ2000,zsp
617822,1,153004.79+101207.5_617822_1,150.45743368826035,2.235078456568293,0.22120000422000885,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.457428,2.235086,0.03400246305341473,0.22120000422000885,0.0,True,823163,4.5,RAJ2000,DEJ2000,z
617822,1,153004.79+101207.5_617822_1,150.45743368826035,2.235078456568293,0.22120000422000885,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.45746,2.2350821,0.09555469214420471,nan,nan,,,,RAJ2000,DEJ2000,zsp
609771,2,080649.15+344745.4_609771_0.003,149.81252882821133,2.226041048063451,1.5516999959945679,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.81253,2.226048,0.025379473758727924,nan,nan,,,,RAJ2000,DEJ2000,zsp
601266,1,080833.36+424836.3_601266_1,149.46541666922244,2.211548034609736,0.5357000231742859,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.465408,2.211545,0.03304406998550733,0.5351999998092651,-0.000500023365020752,True,827934,3.5,RAJ2000,DEJ2000,z
601266,1,080833.36+424836.3_601266_1,149.46541666922244,2.211548034609736,0.5357000231742859,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.46539,2.21155,0.09619824082795783,0.5357,-2.3174285934679517e-08,True,827934,3.5,RAJ2000,DEJ2000,zsp
600741,1,144321.12+190352.1_600741_0.001,150.50021610839624,2.2124596971099204,0.3010999858379364,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.500198,2.212451,0.0722753261786883,0.30070000886917114,-0.0003999769687652588,True,822934,3.5,RAJ2000,DEJ2000,z
600741,1,144321.12+190352.1_600741_0.001,150.50021610839624,2.2124596971099204,0.3010999858379364,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.50024,2.2124717,0.09619664726993218,nan,nan,,,,RAJ2000,DEJ2000,zsp
651345,6,080337.41+364404.5_651345_0.03,150.55510080943762,2.287632140334551,0.36809998750686646,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.555099,2.287631,0.007695256448578354,0.3675999939441681,-0.0004999935626983643,True,822601,4.5,RAJ2000,DEJ2000,z
651345,6,080337.41+364404.5_651345_0.03,150.55510080943762,2.287632140334551,0.36809998750686646,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.5551,2.2876527,0.07407204394221444,nan,nan,,,,RAJ2000,DEJ2000,zsp
669714,2,152337.07+154801.5_669714_0.3,150.1896759143066,2.316031711369254,0.7519000172615051,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.189682,2.31601,0.08116852368553745,0.7512999773025513,-0.0006000399589538574,True,831281,3.5,RAJ2000,DEJ2000,z
