cosmos_id,n_chimeras,representative_chimera_id,host_ra_deg,host_dec_deg,host_redshift,service,catalog_label,catalog_id,rank,match_ra_deg,match_dec_deg,separation_arcsec,match_redshift,delta_redshift,redshift_consistent,source_id,quality,ra_column,dec_column,redshift_column,best_match
260590,3,082615.58+405806.1_260590_0.003,149.5222610928599,1.679142876761924,0.32350000739097595,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.522263,1.679131,0.04330360589226244,0.3231000006198883,-0.0004000067710876465,True,808251,4.5,RAJ2000,DEJ2000,z,True
263131,1,090731.92+441613.1_263131_0.1,150.38170339227963,1.6823766116675052,0.7056000232696533,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.381699,1.682361,0.058382150686354044,0.7049999833106995,-0.0006000399589538574,True,804437,3.5,RAJ2000,DEJ2000,z,True
264338,1,165006.23+215451.8_264338_0.003,150.4034478841636,1.6852655044785338,0.20329999923706055,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.403458,1.685248,0.07277419459423455,0.2029000073671341,-0.00039999186992645264,True,804346,4.5,RAJ2000,DEJ2000,z,True
265840,15,024322.61+001043.9_265840_0.0003,149.9350680481549,1.6871497958120016,0.3700000047683716,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,149.93507,1.6871295,0.07340172959238059,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
267329,2,081738.33+242330.0_267329_0.03,150.23629105630036,1.6875596214225785,0.275299996137619,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.236282,1.687551,0.04500350981499111,0.27489998936653137,-0.0004000067710876465,True,805031,4.5,RAJ2000,DEJ2000,z,True
267923,6,084433.01+380135.1_267923_0.0001,150.1770286724956,1.6906050496341836,0.3449999988079071,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.17703,1.6906077,0.010670325334849514,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
269365,2,174112.44+535632.5_269365_0.1,150.62695081767674,1.6919606073278115,0.8496999740600586,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.626938,1.691952,0.05556558916405161,0.8490999937057495,-0.000599980354309082,True,803582,3.5,RAJ2000,DEJ2000,z,True
269739,18,150038.61+135746.0_269739_0.0003,150.66251530335765,1.6935659348672853,1.2580000162124634,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.66254,1.693552,0.1020504403720326,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
270353,1,135947.07+031733.2_270353_0.1,149.66401033112854,1.6932581483125824,0.788100004196167,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.663986,1.693258,0.08755544314502402,0.7875000238418579,-0.000599980354309082,True,807664,3.5,RAJ2000,DEJ2000,z,True
270428,2,082231.53+231152.0_270428_1,149.88582550423396,1.6925514390263543,0.6625000238418579,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.885834,1.692534,0.06982837451805934,0.661899983882904,-0.0006000399589538574,True,806657,4.5,RAJ2000,DEJ2000,z,True
271248,12,142110.86+220315.8_271248_0.03,150.3564959961935,1.696790476975066,2.759999990463257,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.35651,1.6967925,0.05091516105885765,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
274242,20,092131.86+380038.3_274242_0.003,150.63880150261775,1.7006223176931354,0.8830000162124634,vizier,COSMOS_Ilbert2013_zspec,J/ApJS/206/8,1,150.63879,1.700605,0.07483292405059942,nan,nan,,,,RAJ2000,DEJ2000,zsp,True
277582,3,155246.13+354416.7_277582_0.003,149.77734857707713,1.7065092433776885,0.4302999973297119,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.777344,1.706516,0.02937542672654688,0.42980000376701355,-0.0004999935626983643,True,807153,4.5,RAJ2000,DEJ2000,z,True
278927,2,081738.33+242330.0_278927_0.01,149.59607589925716,1.7074419982216105,0.28290000557899475,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.596069,1.707449,0.03537948247241119,0.2824999988079071,-0.0004000067710876465,True,807952,3.5,RAJ2000,DEJ2000,z,True
279405,5,170811.61+244313.3_279405_1,150.2782232165124,1.7076097736503968,0.8080999851226807,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,150.278214,1.707617,0.042150573607669974,0.8075000047683716,-0.000599980354309082,True,804833,3.5,RAJ2000,DEJ2000,z,True
281189,1,165658.00+252519.8_281189_0.1,149.68456909452638,1.711887960608886,0.260699987411499,vizier,zCOSMOS_Lilly2007,J/ApJS/172/70/zcosmos3,1,149.68457,1.711887,0.004751345723295059,0.26030001044273376,-0.0003999769687652588,True,807573,4.5,RAJ2000,DEJ2000,z,True
