row_index,object_id,ID_COSMOS,COSMOS_ID0,luminosity_bin,log_stellar_mass_truth,recovered_logm,logm16,logm84,residual_log_ratio,residual_errorbar_distance_dex,errorbar_y_min,errorbar_y_max,abs_residual_log_ratio,residual_rank_in_bin
419,084931.22+561938.4_221239_0.0001,221239,221239,L < 42,9.55514,7.8053890856133235,6.6031693519506005,8.576323014484698,-1.7497509143866763,0.9788169855153015,-2.9519706480493992,-0.9788169855153015,1.7497509143866763,97
365,083703.29+250815.2_906258_0.0001,906258,906258,L < 42,9.95018,8.230509087003231,7.162214646708946,8.978216462039233,-1.7196709129967689,0.9719635379607665,-2.787965353291054,-0.9719635379607665,1.7196709129967689,98
333,083220.90+080414.9_754336_0.0001,754336,754336,L < 42,10.4517,8.747549303049574,7.898352941891223,9.634557822363597,-1.7041506969504263,0.8171421776364036,-2.553347058108778,-0.8171421776364036,1.7041506969504263,99
378,084007.54+305611.0_592463_0.0001,592463,592463,L < 42,10.3092,8.625171575286036,7.776577975635229,9.081941825206195,-1.684028424713965,1.2272581747938052,-2.5326220243647715,-1.2272581747938052,1.684028424713965,100
1391,020729.44+140547.0_580679_0.0003,580679,580679,42 < L < 43,7.72995,3.8337200396330937,3.3238317886120425,5.628913483328024,-3.896229960366906,2.101036516671976,-4.406118211387957,-2.101036516671976,3.896229960366906,1
4147,155432.68+214348.1_621733_0.001,621733,621733,42 < L < 43,7.68754,3.9791597590624255,2.6140859482360925,5.300177502973731,-3.708380240937574,2.3873624970262686,-5.073454051763907,-2.3873624970262686,3.708380240937574,2
3203,141956.65+060626.8_922124_0.003,922124,922124,42 < L < 43,10.1193,6.51932237419949,6.047288564749817,6.660378617314989,-3.599977625800511,3.458921382685012,-4.072011435250184,-3.458921382685012,3.599977625800511,3
2170,082327.46+541350.4_592463_0.0001,592463,592463,42 < L < 43,10.3092,6.768454725074969,5.246938296677665,8.305414939471449,-3.5407452749250314,2.0037850605285517,-5.062261703322336,-2.0037850605285517,3.5407452749250314,4
4259,160129.74+215700.3_922124_0.001,922124,922124,42 < L < 43,10.1193,6.600314518164031,5.072968217024394,7.406743347208599,-3.51898548183597,2.7125566527914016,-5.0463317829756065,-2.7125566527914016,3.51898548183597,5
2538,085343.83+341429.3_922124_0.001,922124,922124,42 < L < 43,10.1193,6.668735672595194,1.7572711242502426,7.503713652386555,-3.4505643274048072,2.615586347613446,-8.362028875749758,-2.615586347613446,3.4505643274048072,6
3715,151340.18+051811.7_922277_0.003,922277,922277,42 < L < 43,10.7506,7.397703804931271,6.171678875957068,7.998709394194607,-3.352896195068729,2.7518906058053934,-4.578921124042932,-2.7518906058053934,3.352896195068729,7
3204,141956.65+060626.8_922277_0.003,922277,922277,42 < L < 43,10.7506,7.402156935550568,6.3908586664022735,7.919762173620032,-3.348443064449432,2.8308378263799687,-4.359741333597727,-2.8308378263799687,3.348443064449432,8
3983,154025.23+211445.6_922277_0.003,922277,922277,42 < L < 43,10.7506,7.422205702718291,5.235178027740939,8.011863716967596,-3.3283942972817098,2.738736283032404,-5.515421972259062,-2.738736283032404,3.3283942972817098,9
