fit_index,object_id,COSMOS_ID0,ID_COSMOS,redshift,chimera_QSO_weight,resample_weight,log_stellar_mass_truth,logLbol_QSO,logLbol_chimera,luminosity_bin,dr7q_name,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_spectrum_id,dr7q_redshift,u_sdss,u_sdss_err,r_sdss,r_sdss_err,i_sdss,i_sdss_err,z_sdss,z_sdss_err,J_2mass,J_2mass_err,H_2mass,H_2mass_err,Ks_2mass,Ks_2mass_err,spitzer.irac.I1,spitzer.irac.I1_err,spitzer.irac.I2,spitzer.irac.I2_err
6924,140709.34+012420.0_701398_0.0003,701398,701398,3.3289999961853027,0.0003,5.0,10.4407,47.051998138427734,43.5291193931474,43 < L < 44,140709.34+012420.0,532,51993,218,532-51993-218,3.3255000000000003,5.802768100693356e-06,2.662383849383332e-06,0.0002528925542719662,2.926215347542893e-05,0.0002972795919049531,3.762372944038361e-05,0.0003275106137152761,6.511528772534803e-05,nan,nan,-7.746008486719802e-05,0.0007966684643179178,nan,nan,0.002345878165215254,4.443072612048127e-05,0.0032257011625915766,7.967028068378568e-05
6925,140729.98+035555.0_764825_0.003,764825,764825,0.4787999987602234,0.003,1074.0,9.74722,45.722999572753906,43.20012082747357,43 < L < 44,140729.98+035555.0,582,52045,170,582-52045-170,0.47700000000000004,0.0006415484822355211,2.7037223844672553e-05,0.0029104887507855892,6.0474481870187446e-05,0.0053222812712192535,7.354056288022548e-05,0.007839965634047985,8.716429874766618e-05,nan,nan,0.012932192534208298,0.0006789842154830694,0.016213905066251755,0.0009785537840798497,0.012177513912320137,0.0001295880356337875,0.010421982035040855,0.00014640596054960042
6926,140729.98+035555.0_891438_0.003,891438,891438,0.4821000099182129,0.003,28.0,11.2506,45.722999572753906,43.20012082747357,43 < L < 44,140729.98+035555.0,582,52045,170,582-52045-170,0.47700000000000004,0.0010812794789671898,3.590362030081451e-05,0.017643891274929047,0.00014349159027915448,0.03742538020014763,0.00017086359730456024,0.06457715481519699,9.110668179346249e-05,nan,nan,0.15909476578235626,0.000794200343079865,0.1944514662027359,0.001015632995404303,0.1689603626728058,0.00046645989641547203,0.12823544442653656,0.0007310957298614085
6927,140744.46+113734.8_736081_0.003,736081,736081,0.7580000162124634,0.003,7.0,8.39621,46.071998596191406,43.54911985091107,43 < L < 44,140744.46+113734.8,1703,53799,640,1703-53799-640,0.7585000000000001,0.0006238241912797093,3.678494249470532e-05,0.0006856581894680858,2.8066549930372275e-05,0.0007352608372457325,3.450076110311784e-05,0.0009608311811462045,6.28102061455138e-05,0.0008067209855653346,0.0002556706313043833,0.001373295672237873,0.0006950385286472738,0.0008700449834577739,0.0008632547687739134,0.001395450672134757,6.19961938355118e-05,0.001600548392161727,0.00010201150143984705
6928,140757.44+093014.9_658665_0.0001,658665,658665,3.6549999713897705,0.0001,2.0,8.78222,47.20000076293945,43.20000076293945,43 < L < 44,140757.44+093014.9,1809,53792,523,1809-53792-523,3.6569000000000003,2.27468035518541e-07,3.8146447423059726e-06,0.00011809922580141574,3.1181898521026596e-05,0.0002309638512087986,2.6092675398103893e-05,0.0004274862294550985,7.418791210511699e-05,nan,nan,nan,nan,0.0015284003457054496,0.0007445763912983239,0.0009777506347745657,3.3107349736383185e-05,0.0007285534520633519,2.5809289581957273e-05
6929,140757.44+093014.9_658665_0.0003,658665,658665,3.6549999713897705,0.0003,4.0,8.78222,47.20000076293945,43.677122017659116,43 < L < 44,140757.44+093014.9,1809,53792,523,1809-53792-523,3.6569000000000003,3.867743885166419e-07,3.823430233751424e-06,0.00013548642164096236,3.11849253193941e-05,0.00024661803035996854,2.609501279948745e-05,0.0004468340193852782,7.419501343974844e-05,nan,nan,nan,nan,0.0015932981623336673,0.000744994031265378,0.00100744201336056,3.320537507534027e-05,0.000756186549551785,2.6246067136526108e-05
6930,140810.64+095818.7_383183_0.001,383183,383183,1.281000018119812,0.001,1.0,10.2471,46.20600128173828,43.20600128173828,43 < L < 44,140810.64+095818.7,1809,53792,551,1809-53792-551,1.2788000000000002,0.00010258477414026856,3.785407534451224e-05,0.00020149200281593949,2.6673444153857417e-05,0.00034902564948424697,3.134984217467718e-05,0.0008468531304970384,6.702297832816839e-05,0.002240745583549142,0.00017122521239798516,nan,nan,nan,nan,0.008104940876364708,7.706074393354356e-05,0.007667376194149256,0.00010970048606395721
6931,140827.64+004815.4_309628_0.01,309628,309628,0.44760000705718994,0.01,6.0,8.28366,45.334999084472656,43.334999084472656,43 < L < 44,140827.64+004815.4,302,51688,533,302-51688-533,0.44200000000000006,0.0011362639488652349,4.711247675004415e-05,0.0018702917732298374,4.4879965571453795e-05,0.0018475813558325171,5.216534191276878e-05,0.0025188466534018517,8.978567348094657e-05,0.003415364772081375,0.0006993536371737719,0.005522042978554964,0.0010408050147816539,nan,nan,0.0029195554088801146,0.00014007982099428773,0.003680491354316473,0.0002280670014442876
6932,140827.64+004815.4_315911_0.03,315911,315911,0.43560001254081726,0.03,27.0,8.88835,45.334999084472656,43.81212033919232,43 < L < 44,140827.64+004815.4,302,51688,533,302-51688-533,0.44200000000000006,0.0038503319956362247,7.386785000562668e-05,0.006564743351191282,9.797501843422651e-05,0.00646634865552187,7.356111018452793e-05,0.008948173373937607,0.0001418423926224932,0.011961814016103745,0.002069857669994235,0.016940902918577194,0.0025281396228820086,nan,nan,0.010629702359437943,0.00036531512159854174,0.01259876973927021,0.0006566760130226612
6933,140931.36+153619.1_691909_0.001,691909,691909,1.4700000286102295,0.001,238.0,9.29216,46.81399917602539,43.81399917602539,43 < L < 44,140931.36+153619.1,2745,54231,473,2745-54231-473,1.4672000000000003,0.0003578941978048533,3.6253088183002546e-05,0.000514154031407088,3.0310826332424767e-05,0.0005355039029382169,3.5385313822189346e-05,0.0005962509894743562,6.575236329808831e-05,0.0008696133154444396,0.00016802441678009927,0.0009790415642783046,0.0006946867215447128,nan,nan,0.0012862617149949074,3.619739072746597e-05,0.0017239341977983713,6.143430073279887e-05
6934,140932.31+171149.5_309628_0.01,309628,309628,0.44760000705718994,0.01,39.0,8.28366,45.3489990234375,43.3489990234375,43 < L < 44,140932.31+171149.5,2758,54523,201,2758-54523-201,0.44410000000000005,0.0007842035847716033,4.725585677078925e-05,0.0017136555397883058,4.2071016650879756e-05,0.001813635928556323,5.4295269364956766e-05,0.0022380976006388664,8.879775123205036e-05,0.0023080105893313885,0.0004921326762996614,nan,nan,nan,nan,0.003971045836806297,0.00014716906298417598,0.006062286905944347,0.00024237298930529505
6935,140946.44-005903.0_383183_0.0003,383183,383183,1.281000018119812,0.0003,15.0,10.2471,46.63100051879883,43.10812177351849,43 < L < 44,140946.44-005903.0,302,51688,49,302-51688-49,1.2896,6.347212911350653e-05,3.7766152672702447e-05,0.00017442426178604364,2.6639463612809777e-05,0.00032527471194043756,3.13189702865202e-05,0.0008059435640461743,6.689780275337398e-05,nan,nan,0.0035914795007556677,0.0006566577358171344,nan,nan,0.00807766243815422,7.656622619833797e-05,0.007693086750805378,0.0001084952600649558
6936,140956.31-024603.9_269739_0.0003,269739,269739,1.2580000162124634,0.0003,5.0,10.6247,46.94900131225586,43.42612256697552,43 < L < 44,140956.31-024603.9,916,52378,262,916-52378-262,1.2653,0.0001203077263198793,1.614684151718393e-05,0.0006040682783350348,3.3826428989414126e-05,0.0016274270601570606,5.245879219728522e-05,0.004545781295746565,7.251458737300709e-05,0.010517880320549011,0.0002641221508383751,0.01571458950638771,0.0007492711301892996,0.020526647567749023,0.0008906099828891456,0.03016739711165428,0.0001854582951636985,0.026603659614920616,0.000151604792336002
6937,140956.31-024603.9_269739_0.001,269739,269739,1.2580000162124634,0.001,5.0,10.6247,46.94900131225586,43.94900131225586,43 < L < 44,140956.31-024603.9,916,52378,262,916-52378-262,1.2653,0.0003579369222279638,1.7821930669015273e-05,0.0008940008701756597,3.469580042292364e-05,0.0019162945682182908,5.2967028750572354e-05,0.004816362634301186,7.290657231351361e-05,0.010792226530611515,0.00026758707826957107,0.015940479934215546,0.0007519680657424033,0.02086014859378338,0.0008942382992245257,0.03067263960838318,0.00018659801571629941,0.02768484130501747,0.00015676231123507023
6938,141000.18+064340.0_488706_0.0003,488706,488706,1.2389999628067017,0.0003,9.0,9.01205,47.06399917602539,43.54112043074505,43 < L < 44,141000.18+064340.0,1825,53504,415,1825-53504-415,1.2398000000000002,0.0006364632281474769,3.141603883705102e-05,0.0007500741630792618,3.494592965580523e-05,0.0008155851392075419,3.5029632272198796e-05,0.0012871031649410725,6.570498226210475e-05,0.0012996741570532322,0.00018659027409739792,0.001542853657156229,0.0007122672395780683,0.0011248330119997263,0.0009186509414575994,0.00155163393355906,9.444308670936152e-05,0.0017382847145199776,6.865050818305463e-05
6939,141000.18+064340.0_510527_0.0001,510527,510527,1.2480000257492065,0.0001,26.0,8.91804,47.06399917602539,43.06399917602539,43 < L < 44,141000.18+064340.0,1825,53504,415,1825-53504-415,1.2398000000000002,0.0003733897756319493,3.3024203730747104e-05,0.0005117804394103587,3.5168723115930334e-05,0.0006172648863866925,4.426490704645403e-05,0.0008520084084011614,6.963082705624402e-05,0.0008630079682916403,0.0001942286908160895,0.0007900299970060587,0.0006219280767254531,0.00031279498944059014,0.0007591816829517484,0.0016885697841644287,5.015265924157575e-05,0.0019079574849456549,6.67156491545029e-05
6940,141028.14+135950.2_471600_0.0003,471600,471600,2.2197000980377197,0.0003,15.0,10.5889,47.492000579833984,43.96912183455365,43 < L < 44,141028.14+135950.2,1704,53178,638,1704-53178-638,2.2104000000000004,0.00028431741520762444,1.975983104784973e-05,0.0009209939744323492,3.9302634831983596e-05,0.0010040790075436234,3.698738873936236e-05,0.0013898725155740976,5.901936674490571e-05,0.0030616652220487595,0.00012076641723979264,0.0032072190660983324,0.0005878998781554401,0.006851023994386196,0.0007911772117950022,0.009024890139698982,9.138566383626312e-05,0.011018642224371433,9.588511602487415e-05
6941,141040.00+055040.0_683483_0.03,683483,683483,0.7588000297546387,0.03,2353.0,10.2481,45.518001556396484,43.99512281111615,43 < L < 44,141040.00+055040.0,1825,53504,230,1825-53504-230,0.7566,0.004126650281250477,7.577335054520518e-05,0.006151653826236725,8.718156459508464e-05,0.010129505768418312,9.616700117476285e-05,0.01402167696505785,0.00015508744399994612,nan,nan,0.03261918947100639,0.0036574527621269226,nan,nan,0.040504541248083115,0.00041596448863856494,0.03894493728876114,0.0007329121581278741
6942,141052.86+162908.6_711479_0.0001,711479,711479,3.288300037384033,0.0001,6.0,9.7948,47.34700012207031,43.34700012207031,43 < L < 44,141052.86+162908.6,2745,54231,419,2745-54231-419,3.2808,1.6385461094614584e-06,3.0383373541553738e-06,0.0005288186948746443,3.506477878545411e-05,0.0005342028453014791,3.948357698391192e-05,0.0006059391307644546,6.666682747891173e-05,0.0004240228736307472,0.0001652679784456268,nan,nan,0.001317075453698635,0.0009919285075739026,0.0011697260197252035,3.881448719766922e-05,0.0009282330865971744,8.093446376733482e-05
6943,141137.66+091512.0_582777_0.001,582777,582777,2.9586000442504883,0.001,1.0,10.2822,46.768001556396484,43.768001556396484,43 < L < 44,141137.66+091512.0,1809,53792,612,1809-53792-612,2.9590000000000005,1.2456244803615846e-05,9.586858141119592e-06,0.00033929565688595176,3.0077424526098184e-05,0.00036582950269803405,4.086157423444092e-05,0.00053292146185413,6.94117698003538e-05,0.0006478528957813978,0.0001354825944872573,nan,nan,nan,nan,0.0025708056055009365,4.589788295561448e-05,0.0028248829767107964,8.373456512345001e-05
6944,141206.73+071325.6_694174_0.0003,694174,694174,2.023400068283081,0.0003,1934.0,9.58721,46.707000732421875,43.18412198714154,43 < L < 44,141206.73+071325.6,1824,53491,625,1824-53491-625,2.0140000000000002,0.0010811897227540612,3.296311842859723e-05,0.001543336664326489,5.211961251916364e-05,0.001508855726569891,5.1893704949179664e-05,0.001704267575405538,6.978922465350479e-05,nan,nan,0.0024538408033549786,0.0007097293855622411,nan,nan,0.0024225455708801746,4.9367070459993556e-05,0.0025914809666574,0.00011775494931498542
6945,141223.06+053832.9_539067_0.001,539067,539067,2.135200023651123,0.001,5.0,9.1855,46.861000061035156,43.861000061035156,43 < L < 44,141223.06+053832.9,1825,53504,193,1825-53504-193,2.1294000000000004,0.0003347572637721896,1.9278706531622447e-05,0.0005096091190353036,4.037143662571907e-05,0.0006424352177418768,5.109811172587797e-05,0.0006792891072109342,7.555881165899336e-05,0.0009526384528726339,0.0001415373699273914,nan,nan,nan,nan,0.0010386905632913113,4.761915624840185e-05,0.001462043495848775,7.171025208663195e-05
6946,141225.34+041951.9_604302_0.001,604302,604302,2.385999917984009,0.001,202.0,9.56344,46.597999572753906,43.597999572753906,43 < L < 44,141225.34+041951.9,583,52055,266,583-52055-266,2.3882000000000003,0.0002802398812491447,2.7956542908214033e-05,0.0006344534340314567,3.9721911889500916e-05,0.0006364366854541004,4.787241778103635e-05,0.0006851511425338686,7.62213603593409e-05,nan,nan,nan,nan,0.0006954643176868558,0.0009935522684827447,0.0014699730090796947,7.803497283020988e-05,0.0017232117243111134,6.40743674011901e-05
6947,141239.88+123713.6_464798_0.003,464798,464798,1.3459999561309814,0.003,1.0,9.80662,46.25299835205078,43.730119606770444,43 < L < 44,141239.88+123713.6,1706,53442,228,1706-53442-228,1.344,5.749972478952259e-05,3.24641696352046e-05,0.0005202093161642551,2.9204624297562987e-05,0.00043751654447987676,3.4324588341405615e-05,0.0009095795685425401,7.02520992490463e-05,0.0011449828743934631,0.0002691557165235281,0.0010879506589844823,0.0007223126594908535,0.0017604075837880373,0.0008843013201840222,0.0028517311438918114,6.877246778458357e-05,0.0046044751070439816,0.00011015092604793608
6948,141239.88+123713.6_774308_0.003,774308,774308,1.343000054359436,0.003,2.0,10.8026,46.25299835205078,43.730119606770444,43 < L < 44,141239.88+123713.6,1706,53442,228,1706-53442-228,1.344,6.365696026477963e-05,3.8747624785173684e-05,0.0005209473893046379,3.062082760152407e-05,0.0006181751959957182,3.891721644322388e-05,0.0020131124183535576,6.396826211130247e-05,0.0052665406838059425,0.0002721851342357695,0.008241081610321999,0.000702582357916981,0.013546026311814785,0.0007860999903641641,0.022746430709958076,0.00011536625970620662,0.024183623492717743,0.0002071260241791606
6949,141241.14+071745.3_337674_0.001,337674,337674,0.8202999830245972,0.001,20.0,8.63803,46.577999114990234,43.577999114990234,43 < L < 44,141241.14+071745.3,1825,53504,421,1825-53504-421,0.8115000000000001,0.00047974722110666335,4.0635732148075476e-05,0.0008591889636591077,3.251733141951263e-05,0.0009551317198202014,3.6950143112335354e-05,0.001300889067351818,6.8459972681012e-05,0.0017364365048706532,0.0001696598919807002,0.0017439252696931362,0.0007246775203384459,0.0017401570221409202,0.0007257633842527866,0.0016705440357327461,4.133484253543429e-05,0.002286164788529277,7.326426566578448e-05
6950,141316.06+020346.9_357407_0.003,357407,357407,0.5033000111579895,0.003,1.0,8.2615,45.637001037597656,43.11412229231732,43 < L < 44,141316.06+020346.9,533,51994,280,533-51994-280,0.5071000000000001,0.0005332346190698445,3.559834658517502e-05,0.0009933048859238625,3.476294659776613e-05,0.0010111534502357244,3.821336940745823e-05,0.001287361141294241,7.89686237112619e-05,0.0018059354042634368,0.00025040502077899873,0.0003722377587109804,0.0007420413312502205,0.002116481075063348,0.0007970070582814515,0.00334461429156363,9.418922854820266e-05,0.00510434852913022,0.00015081753372214735
6951,141321.05+092204.8_708039_0.0001,708039,708039,3.3557000160217285,0.0001,30.0,10.2277,47.680999755859375,43.680999755859375,43 < L < 44,141321.05+092204.8,1810,53794,516,1810-53794-516,3.3459000000000003,3.864296559186187e-06,3.449348241701955e-06,0.0012289636069908738,5.005777711630799e-05,0.0014414781471714377,5.0396763981552795e-05,0.001706113456748426,6.769980245735496e-05,0.0017505779396742582,9.670354484114796e-05,0.0025749136693775654,0.0006873122765682638,0.003656215500086546,0.000817927357275039,0.003062537405639887,6.516214489238337e-05,0.003492036834359169,7.229965558508411e-05
6952,141331.36+065520.3_413098_0.001,413098,413098,0.9872000217437744,0.001,169.0,11.2573,46.18199920654297,43.18199920654297,43 < L < 44,141331.36+065520.3,1825,53504,483,1825-53504-483,0.9900000000000001,0.00013040151679888368,2.410609340586234e-05,0.001627825666218996,5.2418181439861655e-05,0.004430763423442841,6.821032002335414e-05,0.013608603738248348,7.866630039643496e-05,0.02779379114508629,0.00013915014278609306,0.04113888740539551,0.0006617258186452091,0.06078673154115677,0.0007837635930627584,0.09722065925598145,0.00040632433956488967,0.07258319109678268,0.00033540066215209663
6953,141343.19+185225.8_580679_0.003,580679,580679,0.972000002861023,0.003,2.0,7.72995,45.82400131225586,43.30112256697552,43 < L < 44,141343.19+185225.8,2772,54529,128,2772-54529-128,0.9640000000000001,0.00011752264981623739,2.4667995603522286e-05,0.00018188114336226135,2.7317419153405353e-05,0.00025267674936912954,3.0833860364509746e-05,0.00025043607456609607,7.559190271422267e-05,nan,nan,nan,nan,0.00029458547942340374,0.0008701790939085186,0.0007375497953034937,3.337388261570595e-05,0.0012518916046246886,6.087021392886527e-05
6954,141344.83+061232.6_564507_0.0003,564507,564507,1.690999984741211,0.0003,36.0,11.1041,46.83300018310547,43.31012143782513,43 < L < 44,141344.83+061232.6,1825,53504,82,1825-53504-82,1.6937000000000002,7.051986176520586e-05,2.0652170860557817e-05,0.0002829255536198616,3.3645625080680475e-05,0.0004398829478304833,3.4772474464261904e-05,0.0011081126285716891,7.941850344650447e-05,0.004965080413967371,0.000157332542585209,0.008732566609978676,0.0005831007729284465,nan,nan,0.03141900151968002,0.00013887342356611043,0.041000910103321075,0.00020524734281934798
6955,141354.73+110047.4_260590_0.01,260590,260590,0.32350000739097595,0.01,3.0,9.51219,45.12200164794922,43.12200164794922,43 < L < 44,141354.73+110047.4,1705,53848,112,1705-53848-112,0.32770000000000005,0.0004188703023828566,3.9161146560218185e-05,0.0033835757058113813,6.300184759311378e-05,0.004831892438232899,6.857261178083718e-05,0.008427908644080162,9.457505802856758e-05,0.013113589026033878,0.000722515513189137,0.017999347299337387,0.0010073937010020018,0.02509426884353161,0.0015402755234390497,0.018172461539506912,0.00032848428236320615,0.021776601672172546,0.00045489214244298637
6956,141354.73+110047.4_762265_0.01,762265,762265,0.3199999928474426,0.01,5.0,8.65497,45.12200164794922,43.12200164794922,43 < L < 44,141354.73+110047.4,1705,53848,112,1705-53848-112,0.32770000000000005,0.00024394936917815357,4.0367103792959824e-05,0.0012921933084726334,3.690576704684645e-05,0.00145903998054564,4.6052799007156864e-05,0.002690765308216214,9.153469000011683e-05,0.0048083350993692875,0.0006824243464507163,0.005779689643532038,0.0009192722500301898,0.010295575484633446,0.0013291353825479746,0.010229963809251785,0.00030044623417779803,0.014750342816114426,0.00041857227915897965
6957,141354.80+074948.9_559103_0.003,559103,559103,0.7261000275611877,0.003,39.0,10.35,45.77799987792969,43.25512113264935,43 < L < 44,141354.80+074948.9,1810,53794,194,1810-53794-194,0.7189000000000001,0.0004910063580609858,2.9439885111059994e-05,0.002565545029938221,5.8755835198098794e-05,0.006199225317686796,7.572511094622314e-05,0.01081840693950653,8.61390435602516e-05,0.016217900440096855,0.00024518053396604955,nan,nan,nan,nan,0.029757028445601463,0.0002391503658145666,0.02042829990386963,0.00019012801931239665
6958,141409.29-005208.0_690664_0.003,690664,690664,0.8174999952316284,0.003,1662.0,10.4397,46.2599983215332,43.737119576252866,43 < L < 44,141409.29-005208.0,304,51957,300,304-51957-300,0.8207000000000001,0.0014653692487627268,4.096547490917146e-05,0.00330910156480968,6.688345456495881e-05,0.006927443668246269,9.551273979013786e-05,0.01183214969933033,9.806017624214292e-05,0.01806192845106125,0.00022785320470575243,0.02457115799188614,0.000782302871812135,nan,nan,0.03500435873866081,0.00020593382942024618,0.025779763236641884,0.00022467788949143142
6959,141409.75+121843.8_601996_0.01,601996,601996,0.4627000093460083,0.01,44.0,9.43352,45.3650016784668,43.3650016784668,43 < L < 44,141409.75+121843.8,1706,53442,214,1706-53442-214,0.45570000000000005,0.004000785760581493,4.7238689148798585e-05,0.008917026221752167,0.00010344332258682698,0.010544046759605408,9.688083810033277e-05,0.014271656982600689,9.881975711323321e-05,nan,nan,nan,nan,0.019683808088302612,0.0010689627379179,0.015330256894230843,0.00018222803191747516,0.01580408774316311,0.000258020096225664
6960,141416.66+100823.3_292166_0.0003,292166,292166,1.77839994430542,0.0003,1.0,8.97849,46.832000732421875,43.30912198714154,43 < L < 44,141416.66+100823.3,1705,53848,56,1705-53848-56,1.7837000000000003,0.0005297812167555094,3.8753001717850566e-05,0.0006948346272110939,4.141437966609374e-05,0.0006332052871584892,4.7736248234286904e-05,0.0006870075594633818,6.975039286771789e-05,nan,nan,0.0010612072655931115,0.0007204197463579476,-3.3184202038683e-05,0.0007138563669286668,0.000752313295379281,6.449351349147037e-05,0.0008703279891051352,7.852516864659265e-05
6961,141422.55+140126.0_488677_0.0001,488677,488677,2.771199941635132,0.0001,4.0,7.02551,47.30699920654297,43.30699920654297,43 < L < 44,141422.55+140126.0,1706,53442,456,1706-53442-456,2.7744000000000004,5.4449057643068954e-05,1.621637238713447e-05,0.00022172991884872317,3.562308120308444e-05,0.0002998173877131194,5.2374023653101176e-05,0.00021872932848054916,7.26070866221562e-05,0.0003883263561874628,0.00012159550533397123,-2.741072967182845e-05,0.0006414726958610117,-0.00013621908146888018,0.0007755717379041016,0.00014929994358681142,5.490783951245248e-05,0.000263485184404999,6.442899029934779e-05
