row_index,chimera_id,cosmos_id,candidate_input_rank,galaxy_spectrum_path,galaxy_spectrum_path_relative,candidate_source_origin,target_redshift_for_scoring,candidate_status,galaxy_spectrum_snr_source,galaxy_spectrum_snr_median,galaxy_spectrum_snr_p16,galaxy_spectrum_snr_p84,galaxy_spectrum_snr_n_pixels,galaxy_spectrum_wave_min,galaxy_spectrum_wave_max,galaxy_spectrum_error_column,selected_for_composite
4493,152648.74+281353.3_387465_0.003,387465,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_07.187.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_07.187.fits,source_match_audit,0.7476999759674072,ok,flux_mad_fallback,5.224770835262042,5.224770835262042,5.224770835262042,1642,5505.10595703125,9694.5791015625,ERR,True
4495,083137.40+414853.2_385272_0.1,385272,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_23.480.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_59_23.480.fits,source_match_audit,0.5619999766349792,ok,flux_mad_fallback,10.100536206884854,10.100536206884854,10.100536206884854,1642,5505.10595703125,9694.5791015625,ERR,True
4502,155405.69+364941.4_388284_1,388284,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_16.953.fits,source_match_audit,0.4729999899864197,ok,flux_mad_fallback,3.544066154597762,3.544066154597762,3.544066154597762,1642,5505.10595703125,9694.5791015625,ERR,True
4504,094045.09+445504.3_383517_0.3,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4508,160724.72+444809.9_383517_0.003,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4514,072818.56+363310.6_383517_0.001,383517,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_44.253.fits,source_match_audit,0.5293999910354614,ok,flux_mad_fallback,7.8641476320873975,7.8641476320873975,7.8641476320873975,1642,5505.10595703125,9694.5791015625,ERR,True
4515,160158.11+294330.0_388723_1,388723,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_54_38.330.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_54_38.330.fits,source_match_audit,0.5285999774932861,ok,flux_mad_fallback,10.221892292143021,10.221892292143021,10.221892292143021,1642,5505.10595703125,9694.5791015625,ERR,True
4516,080409.24+385348.8_386230_1,386230,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_02.510.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_02.510.fits,source_match_audit,0.20819999277591705,ok,flux_mad_fallback,2.1856315020231554,2.1856315020231554,2.1856315020231554,1642,5505.10595703125,9694.5791015625,ERR,True
4531,025026.66+000903.3_392130_0.3,392130,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_53.417.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_53.417.fits,source_match_audit,0.5927000045776367,ok,flux_mad_fallback,4.781550404112703,4.781550404112703,4.781550404112703,1642,5505.10595703125,9694.5791015625,ERR,True
4533,151339.85+011727.4_386230_1,386230,0,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_02.510.fits,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_02.510.fits,source_match_audit,0.20819999277591705,ok,flux_mad_fallback,2.1856315020231554,2.1856315020231554,2.1856315020231554,1642,5505.10595703125,9694.5791015625,ERR,True
