status,chimera_id,row_index,cosmos_id,dr7q_spectrum_id,chimera_redshift,dr7q_redshift,chimera_qso_weight,source_spectrum_path,reason
rejected,164002.49+273157.0_809638_0.0003,18677,809638,2948-54553-34,0.9290000200271606,0.9254000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/164002.49+273157.0_809638_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.05215 is outside allowed range
rejected,074102.60+374508.3_810483_0.0001,18679,810483,431-51877-639,0.796999990940094,0.8034000000000001,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/074102.60+374508.3_810483_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 11.2838 is outside allowed range
rejected,155507.28+141817.9_810798_0.01,18680,810798,2519-54570-601,0.3700000047683716,0.36460000000000004,0.01,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/155507.28+141817.9_810798_0.01_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.05599 is outside allowed range
rejected,142100.45+211200.3_810798_0.003,18685,810798,2787-54552-289,0.3700000047683716,0.36610000000000004,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/142100.45+211200.3_810798_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 9.57263 is outside allowed range
rejected,142116.23+052252.3_809638_0.0003,19261,809638,584-52049-404,0.9290000200271606,0.9262000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/142116.23+052252.3_809638_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 5.12145 is outside allowed range
rejected,161118.92+154340.2_810798_0.003,19265,810798,2198-53918-367,0.3700000047683716,0.37940000000000007,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/161118.92+154340.2_810798_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 8.7081 is outside allowed range
rejected,154458.49+230810.1_810798_0.0003,19267,810798,2169-53556-391,0.3700000047683716,0.37240000000000006,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/154458.49+230810.1_810798_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 10.8617 is outside allowed range
rejected,091641.05+333832.0_810483_0.0003,19268,810483,1592-52990-335,0.796999990940094,0.7905000000000001,0.0003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/091641.05+333832.0_810483_0.0003_spectrum.ecsv,ValueError: median spectrum/photometry scale 10.4696 is outside allowed range
rejected,143553.39+185403.2_820123_0.001,19282,820123,2775-54535-432,1.1759999990463257,1.1689,0.001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/143553.39+185403.2_820123_0.001_spectrum.ecsv,ValueError: median spectrum/photometry scale 38.8667 is outside allowed range
rejected,170207.03+221357.7_820123_0.003,19295,820123,1415-52885-640,1.1759999990463257,1.1801000000000001,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/170207.03+221357.7_820123_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 27.3741 is outside allowed range
rejected,080353.40+143622.5_820123_0.003,19301,820123,2268-53682-336,1.1759999990463257,1.1820000000000002,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/080353.40+143622.5_820123_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 27.9538 is outside allowed range
rejected,080437.62+265448.5_820123_0.003,19303,820123,929-52581-40,1.1759999990463257,1.1718000000000002,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/080437.62+265448.5_820123_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 26.8051 is outside allowed range
rejected,172256.77+321426.0_820123_0.003,19318,820123,2974-54592-626,1.1759999990463257,1.1732000000000002,0.003,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/172256.77+321426.0_820123_0.003_spectrum.ecsv,ValueError: median spectrum/photometry scale 28.1114 is outside allowed range
rejected,145919.96+073634.7_836526_0.0001,19329,836526,1815-53884-228,2.795599937438965,2.7895000000000003,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/145919.96+073634.7_836526_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 6.03682 is outside allowed range
rejected,083447.34+571010.1_836526_0.0001,19340,836526,1784-54425-268,2.795599937438965,2.7997000000000005,0.0001,/home/nicho/GRAHSP_my/My-AGN-research-repository/spectra_workflow/outputs/all_chimera_spectra/spectra/083447.34+571010.1_836526_0.0001_spectrum.ecsv,ValueError: median spectrum/photometry scale 6.69635 is outside allowed range
