dr7q_plate,dr7q_mjd,dr7q_fiber
623,52051,375
623,52051,447
623,52051,499
624,52377,67
624,52377,123
624,52377,336
624,52377,377
624,52377,600
625,52145,208
625,52145,231
625,52145,290
625,52145,301
625,52145,320
625,52145,562
626,52057,24
626,52057,159
626,52057,220
626,52057,237
626,52057,403
627,52144,98
627,52144,373
627,52144,448
627,52144,545
628,52083,80
628,52083,299
628,52083,439
628,52083,626
629,52051,215
629,52051,286
629,52051,473
629,52051,606
630,52050,118
630,52050,147
630,52050,235
630,52050,309
630,52050,370
630,52050,493
630,52050,633
631,52079,369
631,52079,433
632,52071,28
632,52071,40
632,52071,120
632,52071,316
632,52071,415
632,52071,572
632,52071,606
633,52079,31
633,52079,279
633,52079,519
703,52209,45
703,52209,122
703,52209,399
704,52205,57
704,52205,72
704,52205,148
704,52205,192
704,52205,193
704,52205,212
704,52205,483
705,52200,123
705,52200,220
705,52200,584
706,52199,112
706,52199,182
706,52199,275
706,52199,336
706,52199,457
707,52177,552
708,52175,157
708,52175,175
708,52175,183
708,52175,208
708,52175,256
709,52205,81
709,52205,294
709,52205,567
710,52203,1
710,52203,85
710,52203,309
710,52203,564
711,52202,297
711,52202,614
712,52199,200
712,52199,591
713,52178,365
713,52178,390
713,52178,507
714,52201,55
714,52201,193
714,52201,366
714,52201,423
714,52201,438
754,52232,103
754,52232,176
754,52232,187
754,52232,198
754,52232,311
754,52232,415
754,52232,535
754,52232,538
754,52232,599
754,52232,619
755,52235,20
755,52235,100
755,52235,102
755,52235,208
755,52235,442
755,52235,499
755,52235,522
755,52235,548
755,52235,557
755,52235,559
755,52235,627
756,52577,93
756,52577,164
756,52577,169
756,52577,179
756,52577,208
756,52577,341
756,52577,619
757,52238,220
757,52238,303
757,52238,455
757,52238,638
758,52253,196
758,52253,197
758,52253,226
758,52253,401
758,52253,588
759,52254,43
759,52254,72
759,52254,188
759,52254,448
760,52264,287
760,52264,339
760,52264,608
761,52266,37
761,52266,144
762,52232,46
762,52232,220
762,52232,288
762,52232,443
762,52232,456
762,52232,581
762,52232,589
763,52235,125
763,52235,174
763,52235,325
763,52235,633
764,52238,182
764,52238,252
764,52238,322
764,52238,377
764,52238,451
764,52238,530
765,52254,58
765,52254,162
765,52254,198
765,52254,223
765,52254,349
765,52254,601
766,52247,106
766,52247,209
766,52247,385
766,52247,488
766,52247,516
767,52252,2
767,52252,101
767,52252,110
767,52252,307
767,52252,467
767,52252,492
767,52252,550
767,52252,554
767,52252,612
768,52281,106
768,52281,606
768,52281,633
769,52282,61
769,52282,130
769,52282,211
769,52282,374
769,52282,458
769,52282,628
770,52282,92
770,52282,108
770,52282,219
770,52282,245
770,52282,250
770,52282,352
771,52370,126
771,52370,235
771,52370,296
771,52370,388
771,52370,391
771,52370,509
771,52370,606
772,52375,54
772,52375,81
772,52375,303
772,52375,539
773,52376,255
773,52376,279
773,52376,314
773,52376,608
796,52401,113
796,52401,164
796,52401,227
812,52352,97
812,52352,173
812,52352,250
812,52352,355
812,52352,362
813,52354,76
813,52354,97
813,52354,169
813,52354,182
813,52354,339
813,52354,531
813,52354,623
814,52443,59
814,52443,82
814,52443,185
814,52443,339
814,52443,376
814,52443,469
814,52443,564
815,52374,177
815,52374,315
815,52374,333
815,52374,543
816,52379,517
816,52379,602
816,52379,625
817,52381,55
817,52381,70
817,52381,106
817,52381,122
817,52381,449
818,52395,499
818,52395,543
818,52395,562
818,52395,600
819,52409,142
819,52409,293
819,52409,461
820,52438,258
820,52438,300
825,52289,162
826,52295,24
826,52295,207
826,52295,269
826,52295,444
826,52295,537
826,52295,563
826,52295,589
826,52295,620
827,52312,39
827,52312,128
827,52312,310
827,52312,371
827,52312,457
827,52312,509
827,52312,522
827,52312,581
828,52317,7
828,52317,100
828,52317,179
828,52317,228
828,52317,256
828,52317,344
828,52317,352
828,52317,559
828,52317,609
828,52317,613
829,52296,117
829,52296,330
829,52296,350
829,52296,360
829,52296,421
830,52293,25
830,52293,29
830,52293,131
830,52293,161
831,52294,115
831,52294,118
831,52294,167
831,52294,176
831,52294,228
831,52294,306
832,52312,5
832,52312,53
832,52312,61
832,52312,174
832,52312,199
832,52312,327
832,52312,396
832,52312,531
832,52312,566
833,52314,8
833,52314,9
833,52314,80
833,52314,337
833,52314,517
833,52314,544
833,52314,619
834,52316,211
834,52316,439
834,52316,470
834,52316,562
834,52316,566
834,52316,567
854,52373,150
854,52373,621
855,52375,106
855,52375,172
855,52375,250
856,52339,50
856,52339,149
856,52339,269
856,52339,469
857,52314,117
857,52314,459
858,52316,274
858,52316,308
858,52316,530
858,52316,588
859,52317,20
859,52317,521
860,52319,235
860,52319,418
860,52319,469
861,52318,32
861,52318,42
861,52318,376
861,52318,442
861,52318,491
861,52318,627
862,52325,124
862,52325,232
862,52325,252
862,52325,259
862,52325,580
864,52320,286
864,52320,347
864,52320,418
864,52320,442
864,52320,472
865,52323,176
865,52323,264
865,52323,273
865,52323,280
865,52323,589
870,52325,119
870,52325,124
870,52325,183
870,52325,453
870,52325,506
870,52325,521
870,52325,594
870,52325,636
888,52339,245
888,52339,362
888,52339,384
888,52339,426
888,52339,462
888,52339,471
888,52339,558
889,52663,193
889,52663,266
