dr7q_plate,dr7q_mjd,dr7q_fiber
1814,54555,2
1814,54555,404
1814,54555,467
1814,54555,559
1814,54555,567
1814,54555,607
1815,53884,299
1817,53851,24
1817,53851,266
1817,53851,556
1818,54539,147
1818,54539,268
1818,54539,485
1822,53172,148
1822,53172,287
1823,53886,377
1823,53886,524
1825,53504,206
1825,53504,224
1825,53504,289
1826,53499,224
1826,53499,442
1826,53499,625
1827,53531,213
1827,53531,298
1827,53531,382
1828,53504,25
1828,53504,29
1828,53504,443
1828,53504,582
1829,53494,131
1829,53494,203
1829,53494,208
1830,54560,71
1830,54560,596
1831,54557,186
1832,54259,281
1832,54259,423
1833,54561,170
1833,54561,190
1833,54561,592
1834,54562,136
1835,54563,598
1836,54567,134
1836,54567,137
1837,53494,531
1837,53494,605
1842,53501,51
1842,53501,322
1843,53816,354
1843,53816,515
1843,53816,563
1844,54138,446
1844,54138,537
1845,54144,226
1845,54144,330
1845,54144,583
1846,54173,125
1847,54176,75
1847,54176,413
1847,54176,606
1848,54180,35
1848,54180,369
1848,54180,488
1849,53846,275
1849,53846,284
1849,53846,427
1850,53786,438
1851,53524,603
1853,53566,579
1854,53566,194
1864,53313,45
1864,53313,92
1864,53313,102
1865,53312,261
1865,53312,289
1865,53312,367
1866,53314,203
1866,53314,260
1866,53314,308
1866,53314,508
1867,53317,58
1867,53317,178
1867,53317,229
1867,53317,269
1867,53317,290
1867,53317,465
1867,53317,540
1868,53318,23
1868,53318,67
1868,53318,572
1868,53318,583
1868,53318,611
1869,53327,305
1870,53383,226
1870,53383,268
1870,53383,411
1871,53384,164
1871,53384,178
1871,53384,240
1871,53384,279
1871,53384,419
1872,53386,515
1873,54437,4
1873,54437,9
1873,54437,12
1873,54437,289
1874,54452,29
1874,54452,491
1875,54453,90
1875,54453,598
1875,54453,613
1876,54464,318
1876,54464,442
1877,54464,158
1877,54464,390
1878,54474,4
1878,54474,629
1879,54478,102
1879,54478,177
1879,54478,513
1899,53262,67
1920,53314,133
1920,53314,460
1921,53317,41
1921,53317,339
1921,53317,355
1922,53315,44
1922,53315,116
1922,53315,413
1922,53315,503
1922,53315,582
1922,53315,628
1923,53319,210
1923,53319,317
1923,53319,338
1923,53319,537
1924,53330,157
1924,53330,214
1924,53330,294
1925,53327,40
1926,53317,148
1926,53317,511
1926,53317,514
1927,53321,180
1927,53321,301
1927,53321,567
1928,53327,145
1928,53327,212
1928,53327,536
1928,53327,607
1929,53349,94
1929,53349,237
1929,53349,607
1929,53349,629
1930,53347,66
1930,53347,492
1931,53358,192
1931,53358,405
1931,53358,621
1932,53350,570
1933,53381,40
1933,53381,109
1933,53381,119
1933,53381,147
1933,53381,434
1934,53357,149
1934,53357,190
1934,53357,565
1935,53387,107
1935,53387,206
1935,53387,438
1935,53387,460
1935,53387,477
1938,53379,470
2061,53711,184
2062,53381,500
2064,53341,222
2064,53341,318
2069,53376,188
2071,53741,54
2071,53741,412
2073,53728,53
2073,53728,557
2076,53442,320
2080,53350,132
2080,53350,161
2080,53350,633
2080,53350,636
2081,53357,348
2081,53357,450
2082,53358,147
2083,53359,32
2083,53359,331
2083,53359,393
2083,53359,610
2083,53359,638
2085,53379,51
2085,53379,396
2086,53401,13
2086,53401,250
2086,53401,417
2131,53819,117
2131,53819,165
2131,53819,178
2131,53819,213
2132,53493,324
2132,53493,339
2132,53493,407
2132,53493,527
2133,53917,212
2135,53827,227
2135,53827,631
2137,54206,98
2137,54206,485
2137,54206,494
2137,54206,587
2138,53757,191
2139,53878,525
2140,53858,223
2140,53858,507
2140,53858,633
2141,53764,22
2141,53764,357
2142,54208,50
2142,54208,210
2142,54208,315
2142,54208,332
2143,54184,63
2144,53770,138
2144,53770,165
2144,53770,263
2144,53770,372
2145,54212,199
2145,54212,265
2145,54212,325
2145,54212,481
2145,54212,524
2149,54509,215
2150,54510,624
2151,54523,116
2151,54523,167
2151,54523,241
2151,54523,527
2152,53874,435
2155,53820,299
2155,53820,341
2155,53820,368
2155,53820,405
2156,54525,193
2157,54242,271
2158,54209,81
2158,54209,440
2159,54328,187
2160,53885,144
2160,53885,426
2161,53878,115
2162,54207,82
2162,54207,210
2162,54207,363
2162,54207,406
2163,53823,45
2163,53823,174
2163,53823,238
2163,53823,355
2163,53823,462
2163,53823,469
2164,53886,115
2165,53917,222
2165,53917,239
2166,54232,158
2167,53889,23
2167,53889,121
2168,53886,353
2169,53556,442
2170,53875,302
2170,53875,343
2170,53875,544
2171,53557,164
2171,53557,596
2172,54230,390
2172,54230,445
2172,54230,530
2172,54230,535
2173,53874,148
2185,53532,2
2185,53532,346
2186,54327,31
2187,54270,203
2193,53888,521
2194,53904,556
2196,53534,375
2196,53534,403
2196,53534,429
2197,53555,331
2197,53555,555
2198,53918,58
2198,53918,319
2199,53556,25
2199,53556,213
2199,53556,236
2199,53556,260
2199,53556,334
2200,53875,336
2201,53904,297
2201,53904,385
2201,53904,490
2202,53566,525
2203,53915,122
2203,53915,393
2203,53915,396
2204,53877,337
2204,53877,606
2206,53795,10
2206,53795,48
2206,53795,428
2207,53558,242
2207,53558,406
2207,53558,564
2207,53558,583
2208,53880,349
2208,53880,499
2208,53880,596
2209,53907,2
2210,53535,277
2256,53859,31
2256,53859,109
2262,54623,557
2264,53682,232
2264,53682,394
2265,53674,17
2266,53679,192
2266,53679,264
2266,53679,335
2266,53679,384
2266,53679,518
2267,53713,15
2267,53713,563
2268,53682,79
2268,53682,263
2268,53682,505
2270,53714,524
2271,53726,40
2271,53726,257
2271,53726,418
2271,53726,434
2271,53726,531
2272,53713,163
2272,53713,633
2273,53709,35
2273,53709,512
2273,53709,571
2274,53726,320
2275,53709,27
2275,53709,219
2275,53709,372
2276,53712,556
2277,53705,591
2277,53705,606
2278,53711,171
2279,53708,13
2279,53708,175
2279,53708,205
2280,53680,45
2280,53680,54
2280,53680,243
2280,53680,327
2280,53680,479
2280,53680,573
2280,53680,592
2281,53711,5
2281,53711,198
2281,53711,217
2281,53711,374
2281,53711,431
2281,53711,630
2282,53683,8
2282,53683,12
2282,53683,323
2282,53683,402
2283,53729,48
2283,53729,149
2283,53729,388
2284,53708,290
2284,53708,317
2302,53709,158
2321,53711,181
2330,53738,315
2339,53729,629
2398,53768,331
2399,53764,561
2400,53765,28
2403,53795,462
2417,53766,18
2417,53766,203
2418,53794,17
2418,53794,37
2418,53794,200
2418,53794,587
2419,54139,158
2419,54139,262
2420,54086,232
2420,54086,266
2420,54086,390
2420,54086,452
2420,54086,574
2420,54086,619
2421,54153,126
2421,54153,142
2421,54153,214
2421,54153,414
2421,54153,481
2421,54153,553
2421,54153,564
2422,54096,236
2422,54096,589
2423,54149,226
2423,54149,313
2423,54149,436
2425,54139,126
2426,53795,28
2426,53795,405
2426,53795,467
2426,53795,589
2427,53815,243
2427,53815,475
2427,53815,517
2428,53801,21
2428,53801,197
2428,53801,342
2428,53801,377
2428,53801,516
2428,53801,551
2429,53799,464
2429,53799,565
2430,53815,132
2430,53815,222
2430,53815,275
2430,53815,610
2432,54052,220
2433,53820,312
2433,53820,456
2443,54082,178
2444,54082,515
2516,54240,21
2516,54240,303
2516,54240,330
2516,54240,407
2516,54240,424
2516,54240,472
2516,54240,473
2516,54240,476
2516,54240,562
2516,54240,575
2516,54240,584
2516,54240,619
2517,54567,103
2517,54567,320
2517,54567,509
2517,54567,510
2518,54243,575
2519,54570,231
2519,54570,282
2519,54570,313
2519,54570,617
2520,54584,4
2520,54584,323
2520,54584,413
2521,54538,161
2521,54538,244
2521,54538,622
2522,54570,304
2523,54572,484
2525,54569,299
2527,54569,141
2527,54569,469
2528,54571,262
2528,54571,445
2528,54571,559
2529,54585,400
2530,53881,171
2530,53881,587
2531,54572,233
2532,54589,134
2532,54589,218
2532,54589,281
2533,54585,405
2533,54585,448
2533,54585,628
2549,54523,61
2549,54523,399
2570,54081,9
2570,54081,45
2570,54081,592
2571,54055,25
2571,54055,292
2571,54055,588
2571,54055,602
2572,54056,189
2572,54056,411
2572,54056,609
2573,54061,34
2573,54061,35
2574,54084,329
2574,54084,565
2634,54110,266
2671,54141,383
2671,54141,480
2674,54097,454
2694,54199,173
2695,54409,484
2700,54417,632
2744,54272,30
2744,54272,210
2745,54231,398
2745,54231,511
2745,54231,618
2746,54232,52
2746,54232,508
2747,54233,24
2747,54233,564
2747,54233,569
2748,54234,346
2748,54234,569
2749,54241,6
2749,54241,299
2749,54241,470
2749,54241,635
2750,54242,84
2751,54243,340
2751,54243,345
2751,54243,493
2751,54243,557
2751,54243,607
2753,54234,95
2753,54234,279
2754,54240,24
2758,54523,121
2758,54523,136
2758,54523,296
2758,54523,484
2759,54534,66
2759,54534,198
2759,54534,243
2759,54534,359
2759,54534,606
2759,54534,632
2760,54506,74
2760,54506,308
2760,54506,553
2761,54534,81
2762,54533,636
2763,54507,57
2763,54507,243
2763,54507,286
2763,54507,455
2764,54535,341
2764,54535,489
2764,54535,576
2765,54535,49
2765,54535,253
2765,54535,346
2765,54535,393
2765,54535,555
2766,54242,3
2766,54242,12
2767,54243,352
2767,54243,373
2767,54243,493
2767,54243,602
2768,54265,104
2768,54265,329
2772,54529,598
2773,54533,71
2773,54533,80
2773,54533,96
2773,54533,147
2774,54534,51
2774,54534,147
2774,54534,359
2774,54534,624
2775,54535,477
2776,54554,495
2776,54554,561
2777,54554,383
2777,54554,539
2778,54539,12
2778,54539,49
2778,54539,135
2778,54539,242
2778,54539,591
2779,54540,308
2779,54540,376
2779,54540,405
2779,54540,495
2779,54540,503
2779,54540,596
2780,54557,152
2780,54557,268
2780,54557,275
2780,54557,319
2781,54266,28
2781,54266,114
2781,54266,350
2781,54266,394
2781,54266,563
2782,54592,222
2782,54592,295
2782,54592,356
2786,54540,87
2786,54540,104
2786,54540,166
2786,54540,488
2786,54540,589
2788,54553,97
2788,54553,347
2788,54553,387
2789,54555,78
2789,54555,154
2789,54555,346
2789,54555,566
2790,54555,49
2790,54555,467
2791,54556,607
2792,54556,499
2792,54556,635
2793,54271,89
2793,54271,129
2794,54537,187
2794,54537,352
2794,54537,354
2794,54537,551
2795,54563,353
2795,54563,487
2795,54563,513
2795,54563,629
2882,54498,476
2884,54526,54
2884,54526,249
2884,54526,527
2909,54653,222
2948,54553,315
2948,54553,366
2948,54553,608
2949,54557,331
2950,54559,161
2951,54592,370
2951,54592,443
2951,54592,518
2952,54559,88
2952,54559,409
2952,54559,539
2953,54560,139
2953,54560,414
2953,54560,583
2954,54561,96
2954,54561,142
2955,54562,227
2955,54562,289
2955,54562,438
2960,54561,231
2961,54550,559
2968,54585,356
2968,54585,495
2969,54586,11
2969,54586,180
2969,54586,387
2969,54586,450
2970,54589,1
2970,54589,103
2970,54589,364
2970,54589,503
2971,54590,4
2972,54586,125
2972,54586,271
2973,54591,103
2973,54591,165
2973,54591,420
2973,54591,446
2973,54591,554
2974,54592,416
