status,row_index,chimera_id,cosmos_id,dr7q_spectrum_id,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_requested_key,dr7q_matched_key,qso_key_was_remapped,qso_match_source,qso_missing_reason,qso_coordinate_sep_arcsec,qso_ra_deg,qso_dec_deg,qso_catalog_name,qso_catalog_oname,qso_catalog_ra_deg,qso_catalog_dec_deg,qso_catalog_plate,qso_catalog_smjd,qso_catalog_rmjd,qso_catalog_fiber,chimera_redshift,galaxy_spectroscopic_redshift,dr7q_redshift,chimera_qso_weight,galaxy_ra_deg,galaxy_dec_deg,galaxy_match_source,n_explicit_galaxy_paths,n_header_galaxy_paths,n_coordinate_galaxy_paths,n_combined_galaxy_paths,coordinate_sep_arcsec,coordinate_zcosmos_object,galaxy_spectrum_path,dr7q_spectrum_path
missing_dr7q,3284,153400.58+025615.9_435563_0.03,435563,593-52026-170,593,52026,170,593-52026-170,593-52026-170,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,233.50242999999998,2.9377499999999994,153400.58+025615.9,SDSS J153400.58+025615.8,233.502432,2.937751,593,52026,51674,170,0.43849998712539673,0.43849998712539673,0.42980000000000007,0.03,149.69923463697177,1.9560989462391531,coordinate_fallback,0,0,1,1,0.060333896923012865,813843,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_52_49.407.fits,
missing_both,3286,165920.92+392647.0_432382_1,432382,632-52071-606,632,52071,606,632-52071-606,632-52071-606,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,254.83716999999996,39.4464,165920.92+392647.0,SDSS J165920.92+392647.0,254.837176,39.446401,632,52071,51667,606,1.545799970626831,1.545799970626831,1.5507000000000002,1.0,150.33912324477308,1.9525865999796646,none,0,0,0,0,15.619989314417712,,,
missing_dr7q,3290,081420.19+383408.3_433063_0.03,433063,759-52254-72,759,52254,72,759-52254-72,759-52254-72,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,123.58412999999999,38.56898999999999,081420.19+383408.3,SDSS J081420.19+383408.3,123.584129,38.568992,759,52254,51961,72,0.7448999881744385,0.7448999881744385,0.7459000000000001,0.03,150.205323797894,1.9522358429034796,coordinate_fallback,0,0,1,1,0.009266042544113404,811606,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_47_34.483.fits,
missing_both,3291,075646.72+415851.8_432603_0.0003,432603,437-51869-294,437,51869,294,437-51869-294,437-51869-294,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,119.19466999999999,41.981069999999995,075646.72+415851.8,SDSS J075646.71+415851.8,119.19467,41.981073,437,51869,51639,294,2.2451000213623047,2.2451000213623047,2.2494,0.0003,150.2804079154222,1.9530183908948646,none,0,0,0,0,11.753188125311762,,,
missing_both,3293,134947.74+045204.1_431890_0.001,431890,854-52373-621,854,52373,621,854-52373-621,854-52373-621,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,207.44893999999996,4.8678099999999995,134947.74+045204.1,2MASX J13494777+0452039,207.44895,4.867814,854,52373,51987,621,0.1876000016927719,0.1876000016927719,0.18710000000000002,0.001,150.08294692420662,1.9515916140676708,none,0,0,0,0,5.755206734219614,,,
missing_both,3302,085216.23+325247.2_404569_1,404569,1210-52701-18,1210,52701,18,1210-52701-18,1210-52701-18,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,133.06763999999998,32.87978999999999,085216.23+325247.2,SDSS J085216.23+325247.3,133.067635,32.879793,1210,52701,52621,18,3.744999885559082,3.744999885559082,3.7422000000000004,1.0,150.02188244487,1.9086734059476491,none,0,0,0,0,10.794666306660876,,,
missing_both,3305,161821.62+481841.5_407979_0.001,407979,625-52145-320,625,52145,320,625-52145-320,625-52145-320,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,244.59009999999998,48.31155,161821.62+481841.5,SDSS J161821.62+481841.6,244.590104,48.311555,625,52145,52015,320,0.5270000100135803,0.5270000100135803,0.5294000000000001,0.001,149.89134596561485,1.9132458804234405,none,0,0,0,0,14.912152928981136,,,
missing_both,3307,025042.45+003536.7_402684_0.1,402684,410-51816-352,410,51816,352,410-51816-352,410-51816-352,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,42.67688,0.5935299999999999,025042.45+003536.7,SDSS J025042.44+003536.6,42.676878,0.59353,410,51816,52522,352,2.3756000995635986,2.3756000995635986,2.3850000000000002,0.1,150.24708453831096,1.9055915325450936,none,0,0,0,0,17.57460565553555,,,
missing_both,3309,150514.77-011418.3_402405_0.01,402405,922-52426-403,922,52426,403,922-52426-403,922-52426-403,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,226.31153999999998,-1.2384399999999998,150514.77-011418.3,SDSS J150514.76-011418.3,226.311545,-1.238435,922,52426,52053,403,0.8479999899864197,0.8479999899864197,0.8462000000000001,0.01,150.342768771349,1.9041276942415468,none,0,0,0,0,7.861298220220508,,,
missing_both,3311,025042.45+003536.7_411236_0.03,411236,410-51816-352,410,51816,352,410-51816-352,410-51816-352,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,42.67688,0.5935299999999999,025042.45+003536.7,SDSS J025042.44+003536.6,42.676878,0.59353,410,51816,52522,352,2.3814001083374023,2.3814001083374023,2.3850000000000002,0.03,150.20940176032795,1.918685612355377,none,0,0,0,0,11.616593919530686,,,
missing_both,3314,162840.48+375157.5_404569_0.001,404569,1173-52790-304,1173,52790,304,1173-52790-304,1173-52790-304,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,247.16866999999996,37.86597999999999,162840.48+375157.5,SDSS J162840.47+375157.5,247.168674,37.865978,1173,52790,52434,304,3.744999885559082,3.744999885559082,3.7445000000000004,0.001,150.02188244487,1.9086734059476491,none,0,0,0,0,10.794666306660876,,,
missing_both,3335,151017.73+422112.2_407805_0.001,407805,1291-52735-618,1291,52735,618,1291-52735-618,1291-52735-618,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,227.57389999999998,42.35341,151017.73+422112.2,SDSS J151017.73+422112.3,227.5739,42.353411,1291,52735,52681,618,2.0162999629974365,2.0162999629974365,2.0223000000000004,0.001,149.9340388977105,1.9130538094443021,none,0,0,0,0,19.323741270006234,,,
missing_both,3336,084039.27+525504.8_404165_0.0003,404165,444-51883-627,444,51883,627,444-51883-627,444-51883-627,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,130.16365,52.918009999999995,084039.27+525504.8,SDSS J084039.27+525504.8,130.163647,52.918008,444,51883,51667,627,3.090100049972534,3.090100049972534,3.0902000000000003,0.0003,150.4173678032106,1.9077840701787316,none,0,0,0,0,19.914025682131005,,,
missing_both,3338,091748.19+381927.7_407572_0.003,407572,1213-52972-452,1213,52972,452,1213-52972-452,1213-52972-452,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,139.45078999999998,38.32438,091748.19+381927.7,SDSS J091748.19+381927.7,139.450792,38.324381,1213,52972,52621,452,0.8489999771118164,0.8489999771118164,0.8587000000000001,0.003,150.02767298530944,1.912948290114834,none,0,0,0,0,10.982985860981497,,,
missing_both,3347,080707.37+260729.1_406011_0.1,406011,1205-52670-502,1205,52670,502,1205-52670-502,1205-52670-502,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,121.78071999999999,26.124769999999998,080707.37+260729.1,SDSS J080707.37+260729.2,121.78072,26.124765,1205,52670,52621,502,2.304500102996826,2.304500102996826,2.3093000000000004,0.1,149.91576617663657,1.9107586368826561,none,0,0,0,0,7.800626278844428,,,
missing_both,3350,171909.72+314246.5_405366_1,405366,2974-54592-416,2974,54592,416,2974-54592-416,2974-54592-416,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,259.79053,31.712929999999997,171909.72+314246.5,,259.790516,31.71293,2974,54592,51991,416,3.4600000381469727,3.4600000381469727,3.4510000000000005,1.0,150.35062343977515,1.9098470049148848,none,0,0,0,0,12.25311217645189,,,
missing_both,3352,094148.96+644435.0_404165_0.01,404165,1788-54468-495,1788,54468,495,1788-54468-495,1788-54468-495,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,145.45400999999998,64.74305999999999,094148.96+644435.0,,145.45401,64.743068,1788,54468,52935,495,3.090100049972534,3.090100049972534,3.0919000000000003,0.01,150.4173678032106,1.9077840701787316,none,0,0,0,0,19.914025682131005,,,
missing_both,3353,164903.28+304936.5_421983_0.0003,421983,1342-52793-568,1342,52793,568,1342-52793-568,1342-52793-568,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,252.26368999999997,30.826819999999994,164903.28+304936.5,SDSS J164903.28+304936.5,252.263685,30.826819,1342,52793,52403,568,2.0571999549865723,2.0571999549865723,2.048,0.0003,150.28643695754837,1.9362522619993507,none,0,0,0,0,31.581446004348837,,,
missing_both,3366,072658.54+411324.3_421983_0.003,421983,1864-53313-92,1864,53313,92,1864-53313-92,1864-53313-92,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,111.74395999999999,41.22344,072658.54+411324.3,SDSS J072658.54+411324.3,111.743957,41.223441,1864,53313,52963,92,2.0571999549865723,2.0571999549865723,2.0608000000000004,0.003,150.28643695754837,1.9362522619993507,none,0,0,0,0,31.581446004348837,,,
missing_both,3369,085909.25+382303.8_418989_0.0003,418989,936-52705-332,936,52705,332,936-52705-332,936-52705-332,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,134.78857,38.384409999999995,085909.25+382303.8,SDSS J085909.25+382303.8,134.788579,38.38441,936,52705,52288,332,2.788800001144409,2.788800001144409,2.7812,0.0003,150.06363125106566,1.9307237181352483,none,0,0,0,0,8.791672981573953,,,
missing_both,3370,084852.05+512013.9_420402_0.001,420402,447-51877-99,447,51877,99,447-51877-99,447-51877-99,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,132.21692,51.337199999999996,084852.05+512013.9,SDSS J084852.06+512013.9,132.216912,51.337196,447,51877,51638,99,1.36899995803833,1.36899995803833,1.3673000000000002,0.001,150.52326369802967,1.9327198080984085,none,0,0,0,0,26.63301390056566,,,
missing_both,3371,082130.32+251333.6_420402_0.003,420402,1585-52962-573,1585,52962,573,1585-52962-573,1585-52962-573,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,125.37636999999998,25.225999999999996,082130.32+251333.6,SDSS J082130.32+251333.6,125.37637,25.226002,1585,52962,52671,573,1.36899995803833,1.36899995803833,1.364,0.003,150.52326369802967,1.9327198080984085,none,0,0,0,0,26.63301390056566,,,
missing_both,3378,085252.87+391831.2_415482_0.0001,415482,1198-52669-232,1198,52669,232,1198-52669-232,1198-52669-232,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,133.22032,39.30866999999999,085252.87+391831.2,SDSS J085252.87+391831.2,133.220325,39.308674,1198,52669,52283,232,1.1619999408721924,1.1619999408721924,1.1608,0.0001,150.34327122070673,1.9243593810599413,none,0,0,0,0,27.522343545467084,,,
missing_both,3383,090643.90+424358.4_407805_0.1,407805,831-52294-115,831,52294,115,831-52294-115,831-52294-115,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,136.68292,42.732899999999994,090643.90+424358.4,SDSS J090643.89+424358.4,136.682918,42.732901,831,52294,52258,115,2.0162999629974365,2.0162999629974365,2.0136000000000003,0.1,149.9340388977105,1.9130538094443021,none,0,0,0,0,19.323741270006234,,,
missing_both,3385,081541.19+072511.2_421983_0.3,421983,1757-53083-223,1757,53083,223,1757-53083-223,1757-53083-223,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,123.92163999999998,7.419789999999999,081541.19+072511.2,SDSS J081541.19+072511.2,123.921635,7.419788,1757,53083,52667,223,2.0571999549865723,2.0571999549865723,2.0605,0.3,150.28643695754837,1.9362522619993507,none,0,0,0,0,31.581446004348837,,,
