status,row_index,chimera_id,cosmos_id,dr7q_spectrum_id,dr7q_plate,dr7q_mjd,dr7q_fiber,dr7q_requested_key,dr7q_matched_key,qso_key_was_remapped,qso_match_source,qso_missing_reason,qso_coordinate_sep_arcsec,qso_ra_deg,qso_dec_deg,qso_catalog_name,qso_catalog_oname,qso_catalog_ra_deg,qso_catalog_dec_deg,qso_catalog_plate,qso_catalog_smjd,qso_catalog_rmjd,qso_catalog_fiber,chimera_redshift,galaxy_spectroscopic_redshift,dr7q_redshift,chimera_qso_weight,galaxy_ra_deg,galaxy_dec_deg,galaxy_match_source,n_explicit_galaxy_paths,n_header_galaxy_paths,n_coordinate_galaxy_paths,n_combined_galaxy_paths,coordinate_sep_arcsec,coordinate_zcosmos_object,galaxy_spectrum_path,dr7q_spectrum_path
missing_galaxy,20,142408.88+204246.2_636396_0.01,636396,2773-54533-570,2773,54533,570,2773-54533-570,2773-54533-570,False,exact_plate_mjd_fiber,,nan,216.03701999999998,20.712839999999996,142408.88+204246.2,,216.037011,20.712842,2773,54533,53170,570,1.2229000329971313,1.2229000329971313,1.2284000000000002,0.01,149.78362137170944,2.266220369402287,none,0,0,0,0,6.96346705442729,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-2773-54533-0570.fits
missing_both,21,163642.91+332729.0_640223_1,640223,1339-52767-252,1339,52767,252,1339-52767-252,1339-52767-252,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,249.17881999999997,33.458059999999996,163642.91+332729.0,SDSS J163642.91+332728.9,249.17882,33.45806,1339,52767,52705,252,0.9039999842643738,0.9039999842643738,0.9125000000000001,1.0,149.75671365111765,2.271359043497398,none,0,0,0,0,5.863343214384487,,,
missing_galaxy,22,143730.21+082700.6_604414_0.0001,604414,1813-53903-357,1813,53903,357,1813-53903-357,1813-53903-357,False,exact_plate_mjd_fiber,,nan,219.37591999999998,8.450169999999998,143730.21+082700.6,,219.375911,8.450174,1813,53903,52757,357,1.1593999862670898,1.1593999862670898,1.1669,0.0001,149.78022321410805,2.217754153417058,none,0,0,0,0,10.899341279148668,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1813-53903-0357.fits
matched,23,075515.06+185856.8_601996_0.03,601996,1920-53314-530,1920,53314,530,1920-53314-530,1920-53314-530,False,exact_plate_mjd_fiber,,nan,118.81277999999999,18.982449999999996,075515.06+185856.8,SDSS J075515.06+185856.8,118.812785,18.982454,1920,53314,53052,530,0.4627000093460083,0.4627000093460083,0.47200000000000003,0.03,150.70291407516427,2.21344501706475,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_51_27.200.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1920-53314-0530.fits
matched,24,143747.87+283019.4_617393_0.03,617393,2137-54206-441,2137,54206,441,2137-54206-441,2137-54206-441,False,exact_plate_mjd_fiber,,nan,219.44948999999997,28.505409999999998,143747.87+283019.4,,219.449487,28.505415,2137,54206,53117,441,0.24799999594688416,0.24799999594688416,0.24940000000000004,0.03,150.3101119750638,2.233976671557454,coordinate_fallback,0,0,1,1,0.03158686365754673,823880,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_49_19.227.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-2137-54206-0441.fits
missing_dr7q,25,153004.79+101207.5_617822_1,617822,1722-53852-158,1722,53852,158,1722-53852-158,1722-53852-158,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,232.51998999999998,10.202089999999998,153004.79+101207.5,,232.519993,10.202093,1722,53852,52812,158,0.22120000422000885,0.22120000422000885,0.22200000000000003,1.0,150.45743368826035,2.235078456568293,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_47_29.100.fits,
missing_galaxy,26,160030.58+231806.8_617512_0.03,617512,1851-53524-257,1851,53524,257,1851-53524-257,1851-53524-257,False,exact_plate_mjd_fiber,,nan,240.12745999999996,23.301889999999997,160030.58+231806.8,SDSS J160030.59+231806.8,240.127456,23.301894,1851,53524,52815,257,3.6440000534057617,3.6440000534057617,3.6379000000000006,0.03,149.84748400149599,2.2387006720728944,none,0,0,0,0,17.000805824620528,,,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1851-53524-0257.fits
missing_both,27,080649.15+344745.4_609771_0.003,609771,892-52378-286,892,52378,286,892-52378-286,892-52378-286,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,121.70479999999998,34.795959999999994,080649.15+344745.4,SDSS J080649.15+344745.4,121.704795,34.79596,892,52378,52262,286,1.5516999959945679,1.5516999959945679,1.5510000000000002,0.003,149.81252882821133,2.226041048063451,none,0,0,0,0,13.581999595375319,,,
missing_dr7q,28,080833.36+424836.3_601266_1,601266,437-51869-638,437,51869,638,437-51869-638,437-51869-638,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,122.13903999999998,42.810089999999995,080833.36+424836.3,SDSS J080833.36+424836.2,122.139037,42.810087,437,51869,51639,638,0.5357000231742859,0.5357000231742859,0.5429,1.0,149.46541666922244,2.211548034609736,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T13_00_07.920.fits,
missing_dr7q,29,144321.12+190352.1_600741_0.001,600741,2776-54554-495,2776,54554,495,2776-54554-495,2776-54554-495,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,220.83799999999997,19.064469999999996,144321.12+190352.1,,220.838005,19.064474,2776,54554,53441,495,0.3010999858379364,0.3010999858379364,0.29900000000000004,0.001,150.50021610839624,2.2124596971099204,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_46_24.250.fits,
matched,30,080337.41+364404.5_651345_0.03,651345,758-52253-232,758,52253,232,758-52253-232,758-52253-232,False,exact_plate_mjd_fiber,,nan,120.90587999999998,36.73459999999999,080337.41+364404.5,SDSS J080337.41+364404.6,120.905885,36.734603,758,52253,51961,232,0.36809998750686646,0.36809998750686646,0.3657,0.03,150.55510080943762,2.287632140334551,coordinate_fallback,0,0,1,1,0.007695256448782505,822601,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_53_09.467.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-758-52253-0232.fits
matched,31,152337.07+154801.5_669714_0.3,669714,2767-54243-449,2767,54243,449,2767-54243-449,2767-54243-449,False,exact_plate_mjd_fiber,,nan,230.90445999999997,15.800429999999999,152337.07+154801.5,,230.904469,15.800434,2767,54243,53441,449,0.7519000172615051,0.7519000172615051,0.7534000000000001,0.3,150.1896759143066,2.316031711369254,coordinate_fallback,0,0,1,1,0.08116852368602054,831281,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_58_17.847.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-2767-54243-0449.fits
matched,32,135915.86+120109.1_923098_0.003,923098,1703-53799-341,1703,53799,341,1703-53799-341,1703-53799-341,False,exact_plate_mjd_fiber,,nan,209.81609999999998,12.019219999999999,135915.86+120109.1,,209.816105,12.019218,1703,53799,52729,341,0.35499998927116394,0.35499998927116394,0.36180000000000007,0.003,150.13454302518926,2.6999130231252897,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_56_47.940.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1703-53799-0341.fits
matched,33,080320.08+252602.4_915587_0.003,915587,1205-52670-182,1205,52670,182,1205-52670-182,1205-52670-182,False,exact_plate_mjd_fiber,,nan,120.83368999999999,25.434009999999997,080320.08+252602.4,SDSS J080320.08+252602.4,120.833686,25.434007,1205,52670,52585,182,0.47099998593330383,0.47099998593330383,0.4771000000000001,0.003,149.50627951157267,2.68759314853932,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_55_36.760.fits,/home/nicho/GRAHSP_my/data/dr7q_spectra/spec-1205-52670-0182.fits
missing_both,34,144049.11+222825.3_916795_0.3,916795,2140-53858-223,2140,53858,223,2140-53858-223,2140-53858-223,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,220.20463999999998,22.473719999999997,144049.11+222825.3,,220.204637,22.473719,2140,53858,53168,223,1.3990000486373901,1.3990000486373901,1.4050000000000002,0.3,149.87594286054602,2.693060277983112,none,0,0,0,0,10.138386877575883,,,
missing_dr7q,35,074128.90+470321.6_923098_0.3,923098,1867-53317-58,1867,53317,58,1867-53317-58,1867-53317-58,False,none,catalog_match_but_spectrum_not_downloaded_locally,nan,115.37043999999999,47.05600999999999,074128.90+470321.6,SDSS J074128.91+470321.6,115.370439,47.056007,1867,53317,52973,58,0.35499998927116394,0.35499998927116394,0.35200000000000004,0.3,150.13454302518926,2.6999130231252897,explicit_zcosmos_match,1,0,0,1,nan,,/home/nicho/GRAHSP_my/data/zCOSMOS_data/ADP.2015-10-15T12_56_47.940.fits,
