cosmos_id,representative_chimera_id,n_chimeras_in_provenance,host_ra_deg,host_dec_deg,host_redshift,service,failure_reason
455604,081845.67+303125.3_455604_0.1,3,150.48912924529523,1.9890168901506462,0.5163000226020813,sdss,no_sdss_match
455604,081845.67+303125.3_455604_0.1,3,150.48912924529523,1.9890168901506462,0.5163000226020813,desi,no_desi_match
448072,135943.14-003424.5_448072_0.0003,5,150.32878575539337,1.9767378325597433,0.16519999504089355,sdss,no_sdss_match
448072,135943.14-003424.5_448072_0.0003,5,150.32878575539337,1.9767378325597433,0.16519999504089355,desi,no_desi_match
447198,085933.09+214636.2_447198_0.01,24,150.30762244439788,1.976903608098872,0.37139999866485596,sdss,no_sdss_match
447198,085933.09+214636.2_447198_0.01,24,150.30762244439788,1.976903608098872,0.37139999866485596,desi,no_desi_match
482853,022014.57-072859.2_482853_1,2,149.89801312019605,2.031540749089484,0.2206999957561493,sdss,no_sdss_match
481558,090649.62+420308.5_481558_0.03,3,150.39704594762514,2.032474694414933,2.819499969482422,sdss,no_sdss_match
481558,090649.62+420308.5_481558_0.03,3,150.39704594762514,2.032474694414933,2.819499969482422,desi,no_desi_match
485165,082231.53+231152.0_485165_0.03,1,149.8303200618566,2.03564177259911,0.6628000140190125,sdss,no_sdss_match
485165,082231.53+231152.0_485165_0.03,1,149.8303200618566,2.03564177259911,0.6628000140190125,desi,no_desi_match
481821,154458.87+172826.7_481821_0.3,5,150.64463448232564,2.030288044982021,0.6557000279426575,sdss,no_sdss_match
481821,154458.87+172826.7_481821_0.3,5,150.64463448232564,2.030288044982021,0.6557000279426575,desi,no_desi_match
490422,160746.51+090117.6_490422_0.3,2,149.83907886436518,2.0440079805411924,0.31279999017715454,sdss,no_sdss_match
490422,160746.51+090117.6_490422_0.3,2,149.83907886436518,2.0440079805411924,0.31279999017715454,desi,no_desi_match
488348,064902.92+284710.4_488348_1,1,150.7684568680221,2.0418031578719744,0.6072999835014343,sdss,no_sdss_match
488348,064902.92+284710.4_488348_1,1,150.7684568680221,2.0418031578719744,0.6072999835014343,desi,no_desi_match
